"product","condition","ppr"
"ABATACEPT","Abdominal distension",0.478895859326416
"ABATACEPT","Abdominal pain",0.453756246389095
"ABATACEPT","Abdominal pain upper",0.692043636625897
"ABATACEPT","Adrenal insufficiency",4.88063885278814
"ABATACEPT","Adverse drug reaction",2.19874827366325
"ABATACEPT","Adverse event",5.49576155453815
"ABATACEPT","Adverse reaction",3.77725716556299
"ABATACEPT","Alanine aminotransferase abnormal",4.57825098437672
"ABATACEPT","Alanine aminotransferase increased",1.91677048810132
"ABATACEPT","Alopecia",1.28988191653697
"ABATACEPT","Amnesia",0.66580425720524
"ABATACEPT","Anaemia",0.348594355251244
"ABATACEPT","Anaphylactic reaction",2.29256061127546
"ABATACEPT","Anti-cyclic citrullinated peptide antibody positive",4.75096949182439
"ABATACEPT","Antibody test positive",9.08827170072994
"ABATACEPT","Anxiety",0.149759105517538
"ABATACEPT","Apparent death",9.24198789165772
"ABATACEPT","Arthralgia",2.2041958790144
"ABATACEPT","Arthritis",3.04757580364576
"ABATACEPT","Arthropathy",6.18586866414137
"ABATACEPT","Aspartate aminotransferase increased",2.13530655912827
"ABATACEPT","Asthenia",0.516578434490046
"ABATACEPT","Asthma",0.445251362695806
"ABATACEPT","Atrial fibrillation",0.34073705077405
"ABATACEPT","Back disorder",2.48484481173884
"ABATACEPT","Back pain",0.978525099423116
"ABATACEPT","Basal cell carcinoma",3.45698253012844
"ABATACEPT","Blister",0.99307138158466
"ABATACEPT","Blood cholesterol increased",1.67146796885101
"ABATACEPT","Blood creatinine increased",1.12797080566833
"ABATACEPT","Blood glucose increased",0.340876362692479
"ABATACEPT","Blood magnesium increased",4.45270051176882
"ABATACEPT","Blood parathyroid hormone decreased",5.62341352352758
"ABATACEPT","Blood potassium increased",1.55743780354772
"ABATACEPT","Blood pressure increased",0.453226941229749
"ABATACEPT","Blood pressure systolic increased",0.458992389380755
"ABATACEPT","Body height below normal",10.1931636432322
"ABATACEPT","Body temperature increased",1.57288280696633
"ABATACEPT","Bone density decreased",5.33505429584559
"ABATACEPT","Bone disorder",2.65762486596445
"ABATACEPT","Bone erosion",6.90084618912255
"ABATACEPT","Breast cancer",2.06530217323511
"ABATACEPT","Bronchitis",1.14288952712794
"ABATACEPT","Burning sensation",0.996714065601065
"ABATACEPT","Bursitis",1.48881229736172
"ABATACEPT","C-reactive protein abnormal",6.41873790949194
"ABATACEPT","C-reactive protein increased",4.13687887235743
"ABATACEPT","Cardiac disorder",0.573844352613602
"ABATACEPT","Carpal tunnel syndrome",2.10760296330391
"ABATACEPT","Cataract",1.36855216551946
"ABATACEPT","Cellulitis",0.743999443445738
"ABATACEPT","Cerebrovascular accident",0.356085780625527
"ABATACEPT","Chest pain",0.515283365566727
"ABATACEPT","Chills",0.463480321287955
"ABATACEPT","Chronic obstructive pulmonary disease",0.53821945404202
"ABATACEPT","Coeliac disease",4.3273033421918
"ABATACEPT","Colitis",0.692354860406035
"ABATACEPT","Condition aggravated",1.62129528337461
"ABATACEPT","Confusional state",0.323569886939623
"ABATACEPT","Constipation",0.234274040317245
"ABATACEPT","Contraindicated product administered",8.40155960762529
"ABATACEPT","Contusion",0.644450552744912
"ABATACEPT","Cough",0.709704472962086
"ABATACEPT","Crohn's disease",0.844729782099089
"ABATACEPT","Cyst",2.86266567049677
"ABATACEPT","Cystitis",0.702704308666037
"ABATACEPT","Deafness neurosensory",5.01315178725091
"ABATACEPT","Death",0.327230611429396
"ABATACEPT","Decreased appetite",0.223994639563447
"ABATACEPT","Deep vein thrombosis",2.00034747153869
"ABATACEPT","Deformity",5.05234758093925
"ABATACEPT","Depression",0.442419422131314
"ABATACEPT","Device malfunction",6.58707020954619
"ABATACEPT","Diabetes mellitus",1.17020755126207
"ABATACEPT","Diarrhoea",0.837814546727384
"ABATACEPT","Disability",3.87697799312971
"ABATACEPT","Discomfort",1.30687810107503
"ABATACEPT","Disease progression",0.704920789643099
"ABATACEPT","Diverticulitis",3.24588895410547
"ABATACEPT","Dizziness",0.617757223234783
"ABATACEPT","Drug dependence",0.606224973636562
"ABATACEPT","Drug eruption",3.70147232054413
"ABATACEPT","Drug hypersensitivity",3.10074561168419
"ABATACEPT","Drug ineffective",2.90972084631122
"ABATACEPT","Drug intolerance",4.86527707183332
"ABATACEPT","Drug specific antibody",6.91994386442406
"ABATACEPT","Drug specific antibody present",6.21090382636756
"ABATACEPT","Drug tolerance decreased",5.92055609453044
"ABATACEPT","Drug-induced liver injury",1.37127448441211
"ABATACEPT","Dry eye",1.63959954568626
"ABATACEPT","Duodenal ulcer perforation",4.02492703838478
"ABATACEPT","Dyspepsia",0.833786117620418
"ABATACEPT","Dysphonia",0.534781252482007
"ABATACEPT","Dyspnoea",0.376332801596948
"ABATACEPT","Ear infection",0.977500624651591
"ABATACEPT","Ear pain",2.01227341305984
"ABATACEPT","Enthesopathy",3.75989879380573
"ABATACEPT","Epigastric discomfort",3.19142455373591
"ABATACEPT","Erythema",0.806384078892676
"ABATACEPT","Exostosis",3.77786120455536
"ABATACEPT","Eye disorder",1.95292895339669
"ABATACEPT","Fall",0.649372984888469
"ABATACEPT","Fatigue",0.968048347541518
"ABATACEPT","Feeling abnormal",0.391663078383261
"ABATACEPT","Femur fracture",2.89700299017316
"ABATACEPT","Fibromyalgia",2.60643333456568
"ABATACEPT","Finger deformity",5.55823257681707
"ABATACEPT","Fluid retention",0.522951989754295
"ABATACEPT","Folliculitis",4.55948766067026
"ABATACEPT","Foot deformity",4.38977968322595
"ABATACEPT","Foot fracture",1.51537699081664
"ABATACEPT","Gait disturbance",1.04270271882306
"ABATACEPT","Gait inability",1.17086376146569
"ABATACEPT","Gastric disorder",2.34287846282521
"ABATACEPT","Gastroenteritis viral",2.26037569184652
"ABATACEPT","Gastrointestinal disorder",1.86299559661351
"ABATACEPT","Gastrooesophageal reflux disease",0.271619290074646
"ABATACEPT","General physical health deterioration",1.37167433318842
"ABATACEPT","Glaucoma",2.15129064979492
"ABATACEPT","Glossodynia",4.99468644261905
"ABATACEPT","Granuloma skin",5.50322201437507
"ABATACEPT","Grip strength decreased",3.03156132153249
"ABATACEPT","Haemoglobin decreased",0.416723745418033
"ABATACEPT","Hand deformity",6.75696326938142
"ABATACEPT","Headache",1.0291875784537
"ABATACEPT","Heart rate increased",0.302375970390843
"ABATACEPT","Helicobacter infection",3.63709849825278
"ABATACEPT","Hepatic cirrhosis",1.64960934108153
"ABATACEPT","Hepatic enzyme increased",3.42841636787559
"ABATACEPT","Hepatic steatosis",1.02325135619002
"ABATACEPT","Hepatitis",1.72077498304625
"ABATACEPT","Hepatotoxicity",1.33604163070542
"ABATACEPT","Hernia",1.52101751515714
"ABATACEPT","Herpes zoster",1.73766100579137
"ABATACEPT","Hip arthroplasty",3.16440918725196
"ABATACEPT","Hospitalisation",0.573276645000215
"ABATACEPT","Hot flush",0.53894210805378
"ABATACEPT","Human anti-human antibody test",15.557444928627
"ABATACEPT","Human antichimeric antibody positive",10.1674986161288
"ABATACEPT","Hypercalcaemia",3.75414576974514
"ABATACEPT","Hyperhidrosis",0.585626997854193
"ABATACEPT","Hypersensitivity",1.95224962673688
"ABATACEPT","Hypertension",0.948789500946468
"ABATACEPT","Hypoaesthesia",0.541204827794968
"ABATACEPT","Hypocalcaemia",2.44733734033077
"ABATACEPT","Hypokalaemia",1.16382253128393
"ABATACEPT","Hypotension",0.487913644328263
"ABATACEPT","Ill-defined disorder",1.97144832980225
"ABATACEPT","Immunodeficiency",4.25713436752236
"ABATACEPT","Impaired healing",2.22875119692338
"ABATACEPT","Impaired quality of life",1.73179353283618
"ABATACEPT","Impaired work ability",3.47588955991395
"ABATACEPT","Inappropriate schedule of product administration",0.197227378914935
"ABATACEPT","Infection",2.60846804687
"ABATACEPT","Inflammation",2.99945594238457
"ABATACEPT","Influenza",0.952463650304795
"ABATACEPT","Influenza like illness",0.814100693330473
"ABATACEPT","Infusion related reaction",2.28513329565507
"ABATACEPT","Injection site pain",0.253697701500709
"ABATACEPT","Injection site reaction",2.36647817710399
"ABATACEPT","Insomnia",0.873966181192361
"ABATACEPT","Intentional product use issue",1.00075097333251
"ABATACEPT","Interstitial lung disease",2.17508923897568
"ABATACEPT","Irritable bowel syndrome",2.97556609171982
"ABATACEPT","Joint destruction",10.6889088015713
"ABATACEPT","Joint effusion",6.01385078748635
"ABATACEPT","Joint injury",3.64507628282391
"ABATACEPT","Joint range of motion decreased",4.56339467666055
"ABATACEPT","Joint stiffness",3.59490615896516
"ABATACEPT","Joint swelling",4.31489341202357
"ABATACEPT","Juvenile idiopathic arthritis",9.79474942972233
"ABATACEPT","Kidney infection",1.80932050026597
"ABATACEPT","Knee arthroplasty",4.45118124674656
"ABATACEPT","Leukopenia",1.10068729125139
"ABATACEPT","Limb deformity",5.00717806014503
"ABATACEPT","Limb discomfort",1.62681343723001
"ABATACEPT","Liver disorder",1.01259442186384
"ABATACEPT","Liver function test abnormal",3.36568704190528
"ABATACEPT","Liver function test increased",2.71476627304741
"ABATACEPT","Localised infection",1.60065316164846
"ABATACEPT","Loss of consciousness",1.422307063137
"ABATACEPT","Loss of personal independence in daily activities",3.61546376999071
"ABATACEPT","Lower respiratory tract infection",1.98108571505562
"ABATACEPT","Lung disorder",0.863079592673459
"ABATACEPT","Lymphadenopathy",0.816311103309073
"ABATACEPT","Malaise",0.855985341801638
"ABATACEPT","Malignant melanoma",2.5386804181209
"ABATACEPT","Maternal exposure during pregnancy",1.29864233183363
"ABATACEPT","Memory impairment",0.298172545937475
"ABATACEPT","Mobility decreased",2.75457928387753
"ABATACEPT","Mouth ulceration",2.09070235227351
"ABATACEPT","Movement disorder",0.978655841309062
"ABATACEPT","Muscle spasms",0.31018876683615
"ABATACEPT","Muscle spasticity",2.29054830346468
"ABATACEPT","Muscular weakness",0.515731289575427
"ABATACEPT","Musculoskeletal disorder",2.75782037815253
"ABATACEPT","Musculoskeletal pain",1.6873366201609
"ABATACEPT","Musculoskeletal stiffness",3.01747807878283
"ABATACEPT","Myalgia",0.398965389708998
"ABATACEPT","Myocardial infarction",1.26004047076175
"ABATACEPT","Nasal congestion",0.666629385850869
"ABATACEPT","Nasopharyngitis",1.09041033524439
"ABATACEPT","Nausea",1.00840557819767
"ABATACEPT","Neck mass",4.03310778439775
"ABATACEPT","Neck pain",1.18228487711774
"ABATACEPT","Neoplasm malignant",1.52300214135123
"ABATACEPT","Nephrolithiasis",1.40196771840641
"ABATACEPT","Neuropathy peripheral",0.300659976250265
"ABATACEPT","Neutropenia",0.248257600652623
"ABATACEPT","Night sweats",1.39261884496243
"ABATACEPT","Nodule",1.90059225116094
"ABATACEPT","Obesity",4.41944832349652
"ABATACEPT","Oedema",0.645516008310051
"ABATACEPT","Oedema peripheral",0.508690570986996
"ABATACEPT","Off label use",1.80399760362131
"ABATACEPT","Onychomycosis",6.09886452359751
"ABATACEPT","Oral discomfort",2.34760426615363
"ABATACEPT","Oral herpes",1.03381260402294
"ABATACEPT","Oral pain",1.28247240823432
"ABATACEPT","Oropharyngeal pain",0.991493345008234
"ABATACEPT","Osteoarthritis",2.49002989127513
"ABATACEPT","Osteopenia",2.86907221776158
"ABATACEPT","Osteoporosis",1.83717607108506
"ABATACEPT","Osteosclerosis",5.42155472656747
"ABATACEPT","Pain",1.97307269198526
"ABATACEPT","Pain in extremity",1.39088763360031
"ABATACEPT","Pain in jaw",1.15960855633283
"ABATACEPT","Panniculitis",5.75714110149147
"ABATACEPT","Paraesthesia",0.414604043635312
"ABATACEPT","Pemphigus",6.80087290904886
"ABATACEPT","Pericarditis",3.5024870918729
"ABATACEPT","Peripheral swelling",1.99839436347254
"ABATACEPT","Pharyngitis",1.29874373281214
"ABATACEPT","Physical disability",10.911594401604
"ABATACEPT","Pleural effusion",1.25837292758552
"ABATACEPT","Pleural fibrosis",5.53189024232979
"ABATACEPT","Pleural thickening",5.1978914839124
"ABATACEPT","Pneumonia",0.75202492931982
"ABATACEPT","Pneumonia viral",2.53875259713881
"ABATACEPT","Polyarthritis",7.69674981250759
"ABATACEPT","Poor venous access",3.18937044996525
"ABATACEPT","Presbyacusis",5.47994761094641
"ABATACEPT","Prescribed underdose",3.2049546267342
"ABATACEPT","Product dose omission",0.3658696886943
"ABATACEPT","Product storage error",2.96537692520727
"ABATACEPT","Product use in unapproved indication",0.372280776728893
"ABATACEPT","Product use issue",1.68146393881648
"ABATACEPT","Productive cough",0.477811307711864
"ABATACEPT","Pruritus",0.582200917839893
"ABATACEPT","Psoriasis",1.58498880235924
"ABATACEPT","Psoriatic arthropathy",1.74529265881524
"ABATACEPT","Pulmonary embolism",1.35363040511458
"ABATACEPT","Pulmonary fibrosis",2.45390898042915
"ABATACEPT","Pulmonary thrombosis",3.62793879340526
"ABATACEPT","Pulmonary toxicity",5.25448494227996
"ABATACEPT","Pyrexia",0.711040042438768
"ABATACEPT","Quality of life decreased",3.83363413818334
"ABATACEPT","Rash",1.81545877397942
"ABATACEPT","Rash erythematous",0.749101684017997
"ABATACEPT","Rash pruritic",2.43456966810579
"ABATACEPT","Red blood cell sedimentation rate",6.24743358321991
"ABATACEPT","Red blood cell sedimentation rate abnormal",8.5113913208051
"ABATACEPT","Red blood cell sedimentation rate increased",6.59932715342632
"ABATACEPT","Renal failure",0.31134273117724
"ABATACEPT","Renal impairment",0.711146735051738
"ABATACEPT","Respiratory disorder",1.4913816004104
"ABATACEPT","Respiratory tract congestion",1.18356199668585
"ABATACEPT","Respiratory tract infection",0.881083058158559
"ABATACEPT","Rheumatoid arthritis",6.27228265433468
"ABATACEPT","Rheumatoid factor positive",6.80910836476817
"ABATACEPT","Rheumatoid nodule",5.86235236919078
"ABATACEPT","Rhinorrhoea",0.783818720177359
"ABATACEPT","Rib fracture",1.14765824785242
"ABATACEPT","Sciatica",2.18893147910088
"ABATACEPT","Secretion discharge",1.41419569995257
"ABATACEPT","Sepsis",0.72801524195092
"ABATACEPT","Septic shock",2.2787943326965
"ABATACEPT","Sinusitis",1.30949042602565
"ABATACEPT","Skin cancer",1.84948231869441
"ABATACEPT","Skin lesion",1.52449986933289
"ABATACEPT","Skin necrosis",4.87118554526298
"ABATACEPT","Skin ulcer",3.10143145710623
"ABATACEPT","Sleep disorder",2.37644148177452
"ABATACEPT","Somnolence",0.367040616687081
"ABATACEPT","Spinal stenosis",3.03632913218786
"ABATACEPT","Stomatitis",1.59223472157071
"ABATACEPT","Stress",0.66179439888773
"ABATACEPT","Surgery",0.950930665885782
"ABATACEPT","Swelling",3.02205515944879
"ABATACEPT","Syncope",0.366544743656047
"ABATACEPT","Synovitis",7.1881035845053
"ABATACEPT","Systemic lupus erythematosus",5.41032734873708
"ABATACEPT","Tendonitis",2.52502068947877
"ABATACEPT","Tenosynovitis",4.84799612576323
"ABATACEPT","Terminal state",4.442030133112
"ABATACEPT","Therapeutic product effect decreased",4.74300731308579
"ABATACEPT","Therapeutic product effect incomplete",1.88338230090697
"ABATACEPT","Therapeutic response decreased",2.35771182630342
"ABATACEPT","Therapy cessation",0.601354374616994
"ABATACEPT","Therapy non-responder",3.05045012721765
"ABATACEPT","Thrombosis",0.946109528476273
"ABATACEPT","Tongue disorder",3.60138811001951
"ABATACEPT","Tooth disorder",2.24824896339107
"ABATACEPT","Tooth infection",2.31299310623729
"ABATACEPT","Toxicity to various agents",0.33221991759172
"ABATACEPT","Treatment failure",5.91560568909056
"ABATACEPT","Tremor",0.267799027470194
"ABATACEPT","Ulcer",3.28864640505738
"ABATACEPT","Underdose",0.940879996305976
"ABATACEPT","Upper respiratory tract infection",1.43644842045515
"ABATACEPT","Urinary tract infection",0.907007857075174
"ABATACEPT","Urticaria",1.19245810707207
"ABATACEPT","Viral infection",0.887851552584877
"ABATACEPT","Visual impairment",0.83583641808804
"ABATACEPT","Vomiting",1.03933902591053
"ABATACEPT","Weight decreased",0.384649437725477
"ABATACEPT","Weight increased",0.511515143233792
"ABATACEPT","Wheelchair user",7.58761976900272
"ABATACEPT","White blood cell count decreased",0.33207490161331
"ABATACEPT","White blood cell count increased",0.861320019368791
"ABATACEPT","Wound",2.90195015750947
"ABEMACICLIB","Death",4.07155618542716
"ABEMACICLIB","Diarrhoea",8.5774731346404
"ABEMACICLIB","Fatigue",2.10183876404018
"ABEMACICLIB","Malignant neoplasm progression",20.6681414112382
"ABEMACICLIB","Nausea",2.92300134410957
"ABEMACICLIB","Therapy cessation",21.664298999339
"ABEMACICLIB","Vomiting",3.05051325111417
"ABIRATERONE ACETATE","Asthenia",1.48804957022569
"ABIRATERONE ACETATE","Death",10.3706645861954
"ABIRATERONE ACETATE","Decreased appetite",2.23343676833711
"ABIRATERONE ACETATE","Disease progression",12.7256004368926
"ABIRATERONE ACETATE","Dizziness",1.38793859268091
"ABIRATERONE ACETATE","Drug ineffective",1.25376379444238
"ABIRATERONE ACETATE","Fatigue",2.04879188077671
"ABIRATERONE ACETATE","Hospitalisation",17.6583804878113
"ABIRATERONE ACETATE","Hot flush",15.381511158131
"ABIRATERONE ACETATE","Hypertension",2.93953200762528
"ABIRATERONE ACETATE","Incorrect dose administered",10.2987808368231
"ABIRATERONE ACETATE","Myocardial infarction",8.38176567237636
"ABIRATERONE ACETATE","Off label use",1.87217686542293
"ABIRATERONE ACETATE","Pneumonia",1.07348282597106
"ABIRATERONE ACETATE","Product dose omission",1.74176794884361
"ABIRATERONE ACETATE","Prostate cancer",40.6108646488366
"ABIRATERONE ACETATE","Prostatic specific antigen increased",148.312862987843
"ABIRATERONE ACETATE","Therapy cessation",48.9871208900179
"ABIRATERONE ACETATE","Urinary tract infection",2.87246127502984
"ABIRATERONE ACETATE","Weight decreased",2.81346894151305
"ABIRATERONE ACETATE","Weight increased",3.19088816348504
"ABOBOTULINUMTOXINA","Off label use",13.1991775399176
"ACALABRUTINIB","Death",16.7859313376579
"ACEBUTOLOL HYDROCHLORIDE","Balance disorder",36.7390455514653
"ACEBUTOLOL HYDROCHLORIDE","Blood calcium decreased",229.05394583576
"ACEBUTOLOL HYDROCHLORIDE","Cognitive disorder",76.0334131762064
"ACEBUTOLOL HYDROCHLORIDE","Constipation",16.1301419462335
"ACEBUTOLOL HYDROCHLORIDE","Creatinine renal clearance decreased",511.393314106185
"ACEBUTOLOL HYDROCHLORIDE","Depressed level of consciousness",80.0563450902913
"ACEBUTOLOL HYDROCHLORIDE","Fall",7.71826818855844
"ACEBUTOLOL HYDROCHLORIDE","Hypotension",14.1065458151607
"ACEBUTOLOL HYDROCHLORIDE","Orthostatic hypotension",147.811798973492
"ACEBUTOLOL HYDROCHLORIDE","Pain",4.1434215523748
"ACEBUTOLOL HYDROCHLORIDE","Sedation",121.833631419852
"ACEBUTOLOL HYDROCHLORIDE","Sedation complication",499.350410157512
"ACENOCOUMAROL","Drug interaction",21.3086344027441
"ACETAMINOPHEN","Abdominal discomfort",0.853316710804936
"ACETAMINOPHEN","Abdominal distension",0.76082148115765
"ACETAMINOPHEN","Abdominal pain",1.4522845548185
"ACETAMINOPHEN","Abdominal pain lower",1.27327372023669
"ACETAMINOPHEN","Abdominal pain upper",1.28479064791776
"ACETAMINOPHEN","Abortion spontaneous",1.34203364867248
"ACETAMINOPHEN","Abscess",1.36306583175701
"ACETAMINOPHEN","Accidental overdose",2.0398322541075
"ACETAMINOPHEN","Acidosis",2.13884401641256
"ACETAMINOPHEN","Acne",0.246811977695283
"ACETAMINOPHEN","Acute hepatic failure",4.89610896653614
"ACETAMINOPHEN","Acute kidney injury",0.867923116659919
"ACETAMINOPHEN","Acute respiratory distress syndrome",1.37315016590071
"ACETAMINOPHEN","Acute respiratory failure",0.844553122925653
"ACETAMINOPHEN","Adrenal insufficiency",0.768547125290183
"ACETAMINOPHEN","Adverse drug reaction",0.67423541377243
"ACETAMINOPHEN","Adverse event",0.672190086175373
"ACETAMINOPHEN","Agitation",1.41031281344877
"ACETAMINOPHEN","Alanine aminotransferase increased",1.20225044989398
"ACETAMINOPHEN","Alopecia",0.636673533883635
"ACETAMINOPHEN","Altered state of consciousness",1.47552996308922
"ACETAMINOPHEN","Amnesia",0.819467779147569
"ACETAMINOPHEN","Anaemia",1.00299884952254
"ACETAMINOPHEN","Analgesic drug level increased",39.4408777859856
"ACETAMINOPHEN","Anaphylactic reaction",1.23905393354656
"ACETAMINOPHEN","Anaphylactic shock",1.09095013468727
"ACETAMINOPHEN","Angina pectoris",1.02834103473172
"ACETAMINOPHEN","Angioedema",0.813335977583642
"ACETAMINOPHEN","Anhedonia",0.537912754937109
"ACETAMINOPHEN","Anti-cyclic citrullinated peptide antibody positive",1.14789528135103
"ACETAMINOPHEN","Anxiety",0.750113768894132
"ACETAMINOPHEN","Aphasia",0.904860533002707
"ACETAMINOPHEN","Aphonia",1.04954716797441
"ACETAMINOPHEN","Areflexia",5.06193083884307
"ACETAMINOPHEN","Arrhythmia",0.534065171984508
"ACETAMINOPHEN","Arthralgia",1.26916803122202
"ACETAMINOPHEN","Arthritis",0.965882127751249
"ACETAMINOPHEN","Arthropathy",1.04358840700846
"ACETAMINOPHEN","Ascites",0.875533868883266
"ACETAMINOPHEN","Aspartate aminotransferase increased",0.893941283036135
"ACETAMINOPHEN","Asthenia",1.08637686459508
"ACETAMINOPHEN","Asthma",0.555602169724822
"ACETAMINOPHEN","Atrial fibrillation",0.916216635780903
"ACETAMINOPHEN","Back pain",1.45921047953474
"ACETAMINOPHEN","Balance disorder",0.922053761315403
"ACETAMINOPHEN","Beta haemolytic streptococcal infection",7.3444579348858
"ACETAMINOPHEN","Blister",1.47596971646557
"ACETAMINOPHEN","Blood alkaline phosphatase increased",1.57502275485729
"ACETAMINOPHEN","Blood bilirubin increased",1.29987082682247
"ACETAMINOPHEN","Blood calcium decreased",1.39657268045568
"ACETAMINOPHEN","Blood cholesterol increased",0.844440770508076
"ACETAMINOPHEN","Blood count abnormal",0.54220303277843
"ACETAMINOPHEN","Blood creatine phosphokinase increased",0.961646867792401
"ACETAMINOPHEN","Blood creatinine increased",1.26741319316998
"ACETAMINOPHEN","Blood glucose increased",0.686978452366341
"ACETAMINOPHEN","Blood iron decreased",0.93072912478595
"ACETAMINOPHEN","Blood lactate dehydrogenase increased",1.43231483542826
"ACETAMINOPHEN","Blood magnesium increased",2.42692857014694
"ACETAMINOPHEN","Blood potassium decreased",0.926278932717828
"ACETAMINOPHEN","Blood potassium increased",1.22048502933625
"ACETAMINOPHEN","Blood pressure abnormal",0.999565802994477
"ACETAMINOPHEN","Blood pressure decreased",1.01642494237407
"ACETAMINOPHEN","Blood pressure diastolic abnormal",4.07524101786602
"ACETAMINOPHEN","Blood pressure diastolic decreased",2.33390434305864
"ACETAMINOPHEN","Blood pressure diastolic increased",2.27380850514876
"ACETAMINOPHEN","Blood pressure fluctuation",2.98182241392694
"ACETAMINOPHEN","Blood pressure increased",1.34838003382415
"ACETAMINOPHEN","Blood pressure systolic abnormal",4.23661602816213
"ACETAMINOPHEN","Blood pressure systolic increased",1.64151524160891
"ACETAMINOPHEN","Blood sodium decreased",1.0932180476559
"ACETAMINOPHEN","Blood test abnormal",1.89749313500721
"ACETAMINOPHEN","Blood urea increased",1.02315623338317
