"var1";"var2";"N";"E";"PRR";"QUANT_05";"ebgm";"QUANT_95"
"INJECTAFER";"HYPOPHOSPHATAEMIA";20;0,01887788;1212,84;303,78;446,96;638,95
"NOVORAPID";"PRODUCT LEAKAGE";25;0,03253339;914,9;303,42;427,69;589,17
"DEFITELIO";"VENOOCCLUSIVE LIVER DISEASE";20;0,01916029;1311,22;301,82;444,09;634,84
"OLMESARTAN MEDOXOMIL";"SPRUELIKE ENTEROPATHY";15;0,006352006;4224,98;297,24;466,23;703,59
"ATRIPLA";"ANHEDONIA";265;0,7854634;451,66;294,74;326,46;360,81
"BLINATUMOMAB";"ACUTE LYMPHOCYTIC LEUKAEMIA RECURRENT";23;0,02896637;996,69;292,61;418,86;584,78
"LISINOPRIL";"INTESTINAL ANGIOEDEMA";21;0,02341814;2240,35;292,12;425,59;603,28
"PULMOZYME";"CYSTIC FIBROSIS";59;0,136251;548,36;291,66;363,35;448,29
"ANDROGEL";"BLOOD TESTOSTERONE DECREASED";20;0,02080912;1192,47;290,9;428,02;611,87
"ULTRAVIST";"CONTRAST MEDIA REACTION";17;0,01270836;2026,31;289,14;440,5;648,67
"KYLEENA";"ECTOPIC PREGNANCY WITH CONTRACEPTIVE DEVICE";45;0,09495424;908,22;288,72;371,74;472,58
"KYMRIAH";"OUT OF SPECIFICATION TEST RESULTS";19;0,01853248;Inf;287,42;427,43;616,62
"BRIGATINIB";"NONSMALL CELL LUNG CANCER";16;0,01019275;2043,33;287,17;443,6;660,9
"PARAGARD T 380A";"FOREIGN BODY IN REPRODUCTIVE TRACT";14;0,004761832;23513,36;286,75;457,47;700,23
"MICONAZOLE NITRATE";"VULVOVAGINAL BURNING SENSATION";14;0,004790073;3372,21;286,48;457,03;699,56
"ORGALUTRAN";"OVARIAN HYPERSTIMULATION SYNDROME";13;0,002105025;8000,04;286,29;465,5;723,85
"CYTOTEC";"FOETAL DISTRESS SYNDROME";23;0,03016986;1292,99;286,2;409,68;571,96
"VIAGRA";"ERECTION INCREASED";24;0,03363479;1853,62;283,42;402,5;558,07
"ESTRADIOL TRANSDERMAL SYSTEM";"PRODUCT ADHESION ISSUE";60;0,144141;464,92;283,32;352,29;433,9
"ABILIFY";"OBSESSIVECOMPULSIVE DISORDER";29;0,0487718513143917;745,61;282,16;387,63;522,11
"PLAN B ONESTEP";"DYSMENORRHOEA";45;0,09894705;592,76;279,41;359,74;457,33
"ALEMTUZUMAB";"CRYSTAL URINE PRESENT";20;0,0228294234316041;2467,09;278,55;409,84;585,89
"VORICONAZOLE";"PERIOSTITIS";15;0,008472238;7078,95;278,28;436,48;658,69
"VALSARTAN";"CRANIAL SUTURES WIDENING";27;0,04418598;1526,13;276,44;384,41;523,3
"AGGRASTAT";"CORONARY REVASCULARISATION";13;0,00319120972699842;Inf;275,16;447,41;695,72
"DUODOPA";"ON AND OFF PHENOMENON";225;0,7070148;1469,51;274,55;306,79;341,95
"VALSARTAN";"OLIGOHYDRAMNIOS";71;0,186563;607,03;273,2;333,62;404,15
"MELPHALAN";"RETINAL DEPIGMENTATION";13;0,003636545;12866,76;270,84;440,39;684,8
"DUODOPA";"STOMA SITE DISCHARGE";170;0,5271818;1564,51;270,2;307,1;347,86
"PREVACID";"DIABETIC NEPHROPATHY";49;0,1168756;1273,17;268,88;342,45;431,08
"DUODOPA";"STOMA SITE ERYTHEMA";133;0,401545;1795,2;268,86;310,81;357,77
"EXJADE";"SERUM FERRITIN INCREASED";18;0,01858679;1132,71;268,43;403,82;588,33
"GABLOFEN";"MUSCLE SPASTICITY";60;0,1542165;482,2;267,37;332,46;409,47
"LATISSE";"ERYTHEMA OF EYELID";58;0,1478688;628,61;266,86;333,1;411,7
"GOLD BOND ORIGINAL STRENGTH POWDER";"MESOTHELIOMA";12;0,001401178;42817,12;264,73;439,81;696,11
"LAMIVUDINE";"PINEALOBLASTOMA";18;0,0193167;3026,22;263,99;397,13;578,58
"FORXIGA";"EUGLYCAEMIC DIABETIC KETOACIDOSIS";56;0,1431287;489,7;263,79;330,59;410,11
"LERGIGAN PROMETHAZINE HYDROCHLORIDE";"INTENTIONAL SELFINJURY";352;1,213359;383,04;259,85;283,9;309,68
"JAYDESS";"PREGNANCY WITH CONTRACEPTIVE DEVICE";21;0,02958766;782,01;258,95;377,27;534,79
"GABLOFEN";"IMPLANT SITE INFECTION";18;0,02039637;1572,39;257,68;387,64;564,75
"ABILIFY";"COMPULSIVE SEXUAL BEHAVIOUR";13;0,00511592845955158;19051,62;257,43;418,58;650,89
"OFEV";"IDIOPATHIC PULMONARY FIBROSIS";60;0,1614939;754,84;256,92;319,47;393,47
"SYMDEKO";"INFECTIVE PULMONARY EXACERBATION OF CYSTIC FIBROSIS";154;0,498324;458,21;256,5;293,46;334,49
"ALLI";"STEATORRHOEA";15;0,01130283;2037,51;256,43;402,21;606,99
"WARFARIN";"CALCIPHYLAXIS";16;0,0144028;2379,35;256,29;395,9;589,85
"VENCLYXTO";"HYPERURICAEMIA";21;0,0302133;851,78;256;372,98;528,71
"ORILISSA";"ENDOMETRIOSIS";38;0,08703378;620,54;254,59;335,46;435,42
"CRYSVITA";"RICKETS";16;0,01510014;4447,09;251,81;388,98;579,53
"INVOKANA";"OSTEOMYELITIS";104;0,3240631;424,58;251,75;296,72;347,82
"EUCRISA";"APPLICATION SITE PAIN";69;0,1974987;435,84;251,64;308,21;374,38
"LATISSE";"BLEPHARAL PIGMENTATION";19;0,02496486;2824,12;250,24;372,13;536,84
"ZANTAC";"RENAL CANCER";50;0,1310373;472,18;250,11;317,74;399,06
"KYMRIAH";"HAEMATOCRIT DECREASED";176;0,5949901;415,35;249,72;283,18;320,09
"AXICABTAGENE CILOLEUCEL";"CYTOKINE RELEASE SYNDROME";44;0,1102043;435,02;249,61;322,33;410,86
"ELMIRON";"MACULOPATHY";13;0,006060909;3015,85;249,53;405,74;630,93
"SOMATROPIN";"ADENOIDAL HYPERTROPHY";13;0,006156493;4222,18;248,76;404,49;628,98
"NEXPLANON";"IMPLANT SITE PAIN";85;0,2588595;5893,54;248,31;297,94;355,1
"LERGIGAN PROMETHAZINE";"INTENTIONAL SELFINJURY";205;0,7135558;334,55;246,55;276,98;310,31
"INVOKANA";"OSTEOMYELITIS ACUTE";16;0,01601253;4193,51;246,18;380,27;566,56
"TRUVADA";"ECONOMIC PROBLEM";444;1,647611;442,74;245,11;265,19;286,55
"TICE BCG";"BLADDER CANCER RECURRENT";12;0,003547478;7071,8;244,65;406,45;643,32
"COLCHICINE";"DRUG RESISTANCE";44;0,1130718;415,41;244,41;315,62;402,31
"CYTOTEC";"UTERINE ATONY";13;0,007003717;Inf;242,13;393,7;612,2
"HALOPERIDOL LACTATE";"EMBOLISM VENOUS";14;0,01024489;1443,62;241,83;385,8;590,53
"YESCARTA";"NEUROTOXICITY";75;0,229552;373,52;241,23;292,96;353,08
"ALLOPURINOL";"TOXIC EPIDERMAL NECROLYSIS";79;0,2451974;419,04;240,67;290,79;348,82
"RECOMBINATE";"HAEMARTHROSIS";23;0,04077971;602,32;239,87;343,36;479,36
"IMVEXXY";"VAGINAL DISCHARGE";27;0,05492617;582,92;239,18;332,6;452,76
"VIREAD";"ECONOMIC PROBLEM";204;0,7328182;339,35;239,04;268,62;301,03
"VALSARTAN";"FOETAL DISORDER";42;0,1089921;619,3;238,79;310,29;397,75
"GABLOFEN";"IMPLANT SITE EXTRAVASATION";13;0,007462087;13059,55;238,68;388,1;603,49
"OLMESARTAN MEDOXOMIL";"FOETAL DISORDER";17;0,02073743;967,85;238,11;362,75;534,18
"NATPARA PARATHYROID HORMONE";"BLOOD CALCIUM ABNORMAL";17;0,02083084;1349,05;237,62;362,01;533,09
"ENDOXAN";"AGRANULOCYTOSIS";33;0,07716254;469,45;236,98;318,9;421,74
"BERINERT";"HEREDITARY ANGIOEDEMA";28;0,05930567;513,1;236,74;327,16;442,94
"PICATO";"APPLICATION SITE ERYTHEMA";24;0,04546768;573,83;235,66;334,68;464,03
"VELETRI";"CATHETER SITE HAEMORRHAGE";38;0,09669648;608,86;234,33;308,77;400,78
"LISINOPRIL LISINOPRIL 20MG TAB";"ANGIOEDEMA";30;0,06747812;458,28;234,13;319,86;428,71
"LATISSE";"EYELID IRRITATION";38;0,09697889;627,58;233,79;308,06;399,85
"EFAVIRENZEMTRICITABINETENOFOVIR DISOPROXIL FUMARATE";"MICROCEPHALY";11;0,001720516;9589,65;233,01;396,74;640,68
"DELFLEX WITH DEXTROSE 25 LOW MAGNESIUM LOW CALCIUM";"PERITONITIS BACTERIAL";13;0,008341896;1802,33;232,34;377,78;587,45
"PERCODAN";"DRUG DEPENDENCE";168;0,6090692;306,8;232,34;264,27;299,57
"FINASTERIDE";"LIBIDO DECREASED";35;0,08690779;470,98;231,68;308,98;405,38
"BUPROPION";"ELECTROCARDIOGRAM PQ INTERVAL PROLONGED";15;0,01529348;3920,24;230,88;362,13;546,5
"XIAFLEX";"CORPORA CAVERNOSA SURGERY";12;0,00529189;Inf;230,45;382,86;605,97
"OXYCODONE HYDROCHLORIDE";"DRUG DIVERSION";61;0,1871713;436,63;230,01;285,48;351,02
"DOLUTEGRAVIR";"CONGENITAL UMBILICAL HERNIA";12;0,005767639;10398,87;226,85;376,89;596,52
"DUODOPA";"HYPERKINESIA";72;0,2340293;1267,61;226,57;276,29;334,26
"YASMIN";"PREGNANCY ON ORAL CONTRACEPTIVE";11;0,002502569;6329,06;226,32;385,36;622,3
"DUODOPA";"FIBROMA";75;0,2463466;1214,8;226,28;274,81;331,2
"ALEMTUZUMAB";"URINE LEUKOCYTE ESTERASE POSITIVE";17;0,02356586;1537,82;224,17;341,52;502,92
"TRUVADA";"ANHEDONIA";377;1,520984;387,19;223,61;243,57;264,92
"CYTOTEC";"FOETAL HEART RATE ABNORMAL";14;0,01346869;2361,11;221,43;353,27;540,73
"SUMATRIPTAN SUMATRIPTAN SUCCINATE SOLUTION FOR INJECTION IN PREFILL";"PRODUCT COMPLAINT";24;0,04998621;493,49;221,42;314,44;435,98
"PREDNISOLONE";"VIRAEMIA";48;0,1434741;767,28;221,13;282,36;356,27
"LISINOPRIL LISINOPRIL 40MG TAB";"ANGIOEDEMA";28;0,06530141;441,08;220,98;305,38;413,46
"NPLATE";"THROMBOCYTOSIS";15;0,01715302;1040,33;220,63;346,07;522,25
"INVOKANA";"FOOT AMPUTATION";17;0,02440005;1485,2;220,37;335,72;494,38
"OZURDEX";"ENDOPHTHALMITIS";20;0,03578109;628,27;218,96;322,16;460,54
"BEOVU";"VITREOUS FLOATERS";79;0,2723195;389,83;218,7;264,25;316,98
"ELIGARD";"SYRINGE ISSUE";201;0,7905641;519,37;218,64;245,92;275,81
"QBREXZA";"MYDRIASIS";25;0,05524768;484,85;217,27;306,26;421,89
"LAMIVUDINE";"BLOOD HIV RNA INCREASED";25;0,05572126;672,49;215,99;304,46;419,41
"ABILIFY";"LOSS OF EMPLOYMENT";15;0,0180762805570822;1156,98;215,88;338,61;510,99
"ATRIPLA";"BONE DENSITY DECREASED";125;0,4735329;329,07;215,13;249,86;288,87
"NEXAVAR";"HEPATOCELLULAR CARCINOMA";28;0,06829927;521,13;213,86;295,54;400,14
"NEXPLANON";"DEVICE DEPLOYMENT ISSUE";164;0,6471487;932,06;213,6;243,34;276,25
"PLAN B ONESTEP";"VAGINAL HAEMORRHAGE";111;0,4183461;306,95;212,72;249,38;290,86
"DUODOPA";"STOMA SITE INFLAMMATION";45;0,1379541;1656,54;212,42;273,5;347,69
"BEOVU";"RETINAL VASCULITIS";18;0,03006124;1271,28;212,24;319,29;465,18
"STERILE WATER FOR IRRIGATION";"PRODUCT SELECTION ERROR";10;0,0008472238;15873;211,91;371,23;613,43
"PICATO";"APPLICATION SITE SCAB";11;0,004409909;4018,12;211,52;360,16;581,6
"FINASTERIDE";"TESTICULAR PAIN";18;0,03029151;756,01;211,35;317,96;463,23
"MAKENA";"PRETERM PREMATURE RUPTURE OF MEMBRANES";66;0,2280118;1479,35;210,59;259,13;316,13
"TECTA";"FAECAL CALPROTECTIN INCREASED";14;0,01562802;957,24;209,59;334,38;511,82
"DICLOFENAC SODIUM GEL";"PRODUCT ADMINISTERED AT INAPPROPRIATE SITE";22;0,04631056;504,68;209,58;302,57;425,53
"CANDESARTAN";"FOETAL DISORDER";20;0,03858127;632,1;209,28;307,91;440,18
"VELETRI";"CATHETER SITE INFECTION";28;0,07048902;619,11;208,94;288,75;390,93
"RANITIDINE TABLETS USP 300 MG";"RECALLED PRODUCT ADMINISTERED";11;0,004772694;2465,17;208,93;355,73;574,45
"TISAGENLECLEUCEL";"CYTOKINE RELEASE SYNDROME";21;0,04292166;509,25;207,93;302,94;429,42
"RADICUT BAG FOR IV INFUSION 30MG";"AMYOTROPHIC LATERAL SCLEROSIS";10;0,001399005;9133,19;207,44;363,4;600,49
"CYSTADANE";"HYPERMETHIONINAEMIA";10;0,00141204;Inf;207,34;363,22;600,19
"AFRIN ORIGINAL";"DRUG DEPENDENCE";151;0,60906920515199;272,64;207,27;237,45;271
"IMPLANON";"COMPLICATION ASSOCIATED WITH DEVICE";23;0,05137652;470,51;206,48;295,57;412,64
"ESTRADIOL TRANSDERMAL SYSTEM";"APPLICATION SITE PRURITUS";29;0,07610242;421,44;205,7;282,59;380,63
"VELETRI";"CATHETER SITE PAIN";35;0,101215;502,53;205,36;273,88;359,34
"RESTASIS";"PRODUCT CONTAINER ISSUE";176;0,7289514;483,26;205,33;232,85;263,2
"STRIBILD";"ECONOMIC PROBLEM";43;0,1352517;330,44;205,06;265,62;339,51
"DUODOPA";"STOMA SITE PAIN";68;0,2438832;888,24;204,84;251,27;305,65
"VELETRI";"DEVICE ALARM ISSUE";27;0,06868161;609,18;203,97;283,63;386,11
"OXYCONTIN";"SUBSTANCE USE DISORDER";13;0,01302118;1924,51;203,56;330,99;514,68
"NUZYRA";"DRUG DOSE TITRATION NOT PERFORMED";10;0,001920374;6446,92;203,39;356,3;588,75
"DOCETAXEL";"HAIR DISORDER";601;2,74436;2477,87;202,69;216,86;231,8
"VALSARTAN";"COLORECTAL CANCER";40;0,1247027;467,78;202,04;264,3;340,83
"OVITRELLE";"OVARIAN HYPERSTIMULATION SYNDROME";10;0,002105025;5761,08;201,99;353,85;584,71
"VELETRI";"PAIN IN JAW";203;0,8684609;296,08;201,68;226,71;254,13
"GLASTA";"CHEMOTHERAPY";13;0,0134122;1117,35;201,47;327,59;509,41
"SUBLOCADE";"DRUG WITHDRAWAL SYNDROME";71;0,2621636;318,01;201,21;245,72;297,66
"ALEMTUZUMAB";"CD4 LYMPHOCYTES DECREASED";20;0,0412402487796718;753,83;200,84;295,51;422,45
"SCOPOLAMINE TRANSDERMAL SYSTEM";"PRODUCT ADHESION ISSUE";19;0,03727785;527,16;200,57;298,27;430,28
"CYTOTEC";"PREMATURE SEPARATION OF PLACENTA";16;0,02532113;957,5;200,41;309,58;461,24
"TAXOTERE";"IMPAIRED QUALITY OF LIFE";262;1,153484;428,66;200,26;221,94;245,43
"VALSARTAN";"PULMONARY HYPOPLASIA";18;0,03338496;1144,6;200,11;301,04;438,59
"FAMOTIDINE";"HYPOPARATHYROIDISM";10;0,002363537;5993,42;200,06;350,48;579,13
"NEXPLANON";"PREGNANCY WITH IMPLANT CONTRACEPTIVE";112;0,451566;862,85;199,82;234,09;272,83
"LIDOCAINE";"METHAEMOGLOBINAEMIA";13;0,01385971;1330,89;199,14;323,8;503,5
"DUODOPA";"FREEZING PHENOMENON";134;0,5567434;589,79;198,7;229,58;264,13
"SOFOSBUVIR";"LIVER TRANSPLANT REJECTION";10;0,002552533;4976,24;198,68;348,05;575,13
"NEVIRAPINE";"SPEECH DISORDER DEVELOPMENTAL";11;0,006308559;2092,2;198,6;338,15;546,05
"ALEMTUZUMAB";"NITRITE URINE PRESENT";13;0,01399223;2939,94;198,45;322,69;501,78
"LUMIGAN";"PRODUCT DROPPER ISSUE";22;0,05040982;575,25;198,15;286,06;402,32
"CLINDAMYCIN HYDROCHLORIDE CAP 150MG";"ABORTION SPONTANEOUS";18;0,03401929;540,27;197,95;297,79;433,85
"RANITIDINE HYDROCHLORIDE";"RECALLED PRODUCT ADMINISTERED";20;0,04221999;537,16;197,9;291,19;416,26
"IRESSA";"DRUG RESISTANCE";47;0,1598081;315,39;196,79;251,95;318,67
"PICATO";"APPLICATION SITE VESICLES";12;0,01049254;1384,23;196,44;326,37;516,56
"BERIPLEX PN";"PRODUCT PREPARATION ISSUE";14;0,01839127;806,52;196,17;312,96;479,03
"VALSARTAN";"ANGIOTENSIN CONVERTING ENZYME INHIBITOR FOETOPATHY";16;0,02651159;1479,89;195,76;302,39;450,53
"NATPARA PARATHYROID HORMONE";"BLOOD CALCIUM DECREASED";37;0,1162652;376,06;195,68;258,84;337,12
"DUODOPA";"STOMA SITE IRRITATION";38;0,1207098;1398,86;195,65;257,8;334,62
"ASPARAGINASE";"HYPERTRIGLYCERIDAEMIA";14;0,01876927;832,09;194,47;310,24;474,87
"JAKAVI";"MYELOFIBROSIS";31;0,09079633;533,3;194,24;263,96;352,14
"VIREAD";"ANHEDONIA";156;0,6764974;270,89;193,99;221,75;252,54
"SAXENDA";"WEIGHT LOSS POOR";25;0,06491038;532,9;193,86;273,26;376,43
"DOCETAXEL";"MADAROSIS";739;3,564753;1510,4;193,58;205,74;218,49
