"var1";"var2";"N";"E";"PRR";"QUANT_05";"ebgm";"QUANT_95"
"GANIRELIX ACETATE";"OVARIAN HYPERSTIMULATION SYNDROME";19;0,00482927020016597;5901,01;415,06;617,23;890,44
"LANADELUMABFLYO";"HEREDITARY ANGIOEDEMA";47;0,0631085467003246;860,12;411,53;526,89;666,43
"EPOPROSTENOL";"CATHETER SITE ERYTHEMA";83;0,143044590913238;1343,36;407,9;490,52;585,83
"AXICABTAGENE CILOLEUCEL";"CYTOKINE RELEASE SYNDROME";155;0,31553838867913;691,71;396,57;453,5;516,7
"LAMIVUDINE";"PATHOGEN RESISTANCE";131;0,265021137561425;808;388,6;449,74;518,24
"TISAGENLECLEUCEL";"HYPOGAMMAGLOBULINAEMIA";138;0,283534426201018;1002,32;386,36;445,44;511,45
"BROLUCIZUMABDBLL";"VITRITIS";38;0,0486294257448112;2525,89;385,76;508,31;659,77
"DROSPIRENONEETHINYL ESTRADIOL";"PREGNANCY ON ORAL CONTRACEPTIVE";20;0,00938481658331849;4793,73;383,84;564,76;807,36
"PEGVISOMANT";"INSULINLIKE GROWTH FACTOR INCREASED";25;0,0203598381988104;1894,71;381,97;538,42;741,7
"GADODIAMIDE";"URINE ANALYSIS ABNORMAL";18;0,00621309616395622;3463,74;371;558,11;813,11
"MENTHOLZINC OXIDE";"EXPOSURE TO CHEMICAL POLLUTION";16;0,0019616873552631;34253,02;370,21;571,88;852,02
"PHENYTOIN";"CEREBELLAR ATROPHY";23;0,0175769793925069;6320,73;367,93;526,68;735,3
"CANAGLIFLOZIN";"LEG AMPUTATION";60;0,105587876207318;1176,01;366,02;455,13;560,55
"ESKETAMINE";"DISSOCIATION";78;0,150422099505125;922,22;364,89;441,43;530,12
"TISAGENLECLEUCEL";"CYTOKINE RELEASE SYNDROME";239;0,564952923848296;764,97;362,91;404,17;449,05
"AXICABTAGENE CILOLEUCEL";"CAR TCELLRELATED ENCEPHALOPATHY SYNDROME";22;0,0159541881916414;7441,92;362,37;523,15;735,76
"DOLUTEGRAVIR";"BIRTH MARK";18;0,00730581902076391;46794;358,5;539,32;785,74
"CANAGLIFLOZIN";"GANGRENE";73;0,143817969316864;942,65;352,36;429,09;518,44
"COLLAGENASE CLOSTRIDIUM HISTOLYTICUM";"FRACTURE OF PENIS";19;0,0102972293066967;36884,13;351,03;522,01;753,07
"VARICELLAZOSTER VIRUS STRAIN OKAMERCK LIVE ANTIGEN";"VACCINATION FAILURE";16;0,00364965089351275;13149,94;348,51;538,35;802,08
"NIRAPARIB";"CARBOHYDRATE ANTIGEN 125 INCREASED";81;0,167649320687003;1877,95;346,41;417,54;499,75
"EPIRUBICIN";"CARDIAC DYSFUNCTION";29;0,0357665787564249;979,77;340,58;467,9;630,22
"NICOTINE";"NICOTINE DEPENDENCE";61;0,118305171642213;3131,58;339,81;421,75;518,57
"MISOPROSTOL";"NEONATAL HYPOXIA";24;0,0239595236336619;2414,43;337;478,59;663,57
"ETELCALCETIDE HYDROCHLORIDE";"SHUNT STENOSIS";16;0,00501826997858002;13387,87;332,7;513,93;765,69
"MENTHOLZINC OXIDE";"OCCUPATIONAL EXPOSURE TO PRODUCT";24;0,0246612124661647;1070,41;332,26;471,85;654,22
"EPOPROSTENOL";"CATHETER SITE IRRITATION";32;0,0450688437123901;2330,65;331,8;448,64;595,85
"TISAGENLECLEUCEL";"MINIMAL RESIDUAL DISEASE";26;0,0306809640292146;8183,17;326,33;456,79;625,43
"AZTREONAM LYSINE";"CYSTIC FIBROSIS";117;0,281023118800481;714,46;325,95;380,51;442,05
"174316382332BLOODCOAGULATION FACTOR VIII SYNTHETIC HUMAN FUSION PROTEIN WITH IMMUNOGLOBULIN G1 SYNTHETIC HUMAN FC DOMAIN FRAGMENT 1444614479BISDISULFIDE WITH IMMUNOGLOBULIN G1 SYNTHETIC HUMAN FC DOMAIN FRAGMENT";"HAEMARTHROSIS";36;0,0580337940293449;688,93;321,36;426,8;557,87
"EPOPROSTENOL";"CATHETER SITE DISCHARGE";37;0,0607449632645258;1509,1;321,27;424,97;553,5
"LAPINE TLYMPHOCYTE IMMUNE GLOBULIN";"HEART TRANSPLANT REJECTION";18;0,0116788828592408;2143,95;315,93;475,28;692,43
"PARATHYROID HORMONE";"HYPOCALCAEMIA";107;0,264964654869025;512,4;312,2;367,1;429,37
"EPOPROSTENOL";"CATHETER SITE RASH";30;0,0440890862403816;2039,32;311,89;426,1;571,1
"FERRIC CARBOXYMALTOSE";"HYPOPHOSPHATAEMIA";36;0,0617833758401801;754,32;307,5;408,39;533,81
"EFAVIRENZEMTRICITABINETENOFOVIR DISOPROXIL FUMARATE";"ECONOMIC PROBLEM";319;0,927106913047067;478,7;304,75;334,47;366,43
"NALTREXONE";"ALCOHOLISM";75;0,176512758571249;1101,33;304,2;369,44;445,26
"LEVODOPA";"PRODUCT RESIDUE PRESENT";101;0,255301769646201;646,27;303,29;358,36;421,04
"NETARSUDIL MESYLATE";"CONJUNCTIVAL HYPERAEMIA";18;0,0132147776102607;1777,37;303,28;456,25;664,71
"MISOPROSTOL";"FOETAL DISTRESS SYNDROME";25;0,0327252030118309;1379,21;300,35;423,38;583,23
"IOPROMIDE";"CONTRAST MEDIA REACTION";19;0,0167275665952668;1831,4;297,13;441,85;637,43
"MICONAZOLE NITRATE";"VULVOVAGINAL BURNING SENSATION";16;0,00866792087209277;2177,55;296,79;458,46;683,05
"DEFIBROTIDE SODIUM";"VENOOCCLUSIVE LIVER DISEASE";20;0,0195864597951851;1282,68;296,31;435,96;623,23
"TENOFOVIR DISOPROXIL FUMARATE";"SKELETAL INJURY";28;0,0427921567264369;1525,43;292,92;404,8;548,05
"DORNASE ALFA";"CYSTIC FIBROSIS";59;0,136861908506728;545,91;289,86;361,1;445,51
"CANAGLIFLOZIN";"LIMB AMPUTATION";19;0,018204806242641;20854,61;287;426,79;615,71
"COPPER";"FOREIGN BODY IN REPRODUCTIVE TRACT";14;0,00476192545153568;23512,9;282,99;451,48;691,06
"NEVIRAPINE";"SPEECH DISORDER DEVELOPMENTAL";17;0,0131908810865532;1735,55;282,54;430,45;633,87
"BLINATUMOMAB";"ACUTE LYMPHOCYTIC LEUKAEMIA RECURRENT";30;0,0515513188708675;791,92;281,55;384,64;515,54
"BRIGATINIB";"NONSMALL CELL LUNG CANCER";17;0,0136405702145039;1653,39;279,27;425,46;626,52
"TISAGENLECLEUCEL";"OUT OF SPECIFICATION TEST RESULTS";19;0,0201013212605199;Inf;274,97;408,91;589,9
"CANAGLIFLOZIN";"DIABETIC FOOT";37;0,07554994590696;882,86;274,04;362,49;472,12
"OLMESARTAN MEDOXOMIL";"SPRUELIKE ENTEROPATHY";16;0,0116701932142562;2588,8;272,59;421,07;627,35
"TIROFIBAN HYDROCHLORIDE";"CORONARY REVASCULARISATION";13;0,00319127212057751;Inf;271,35;441,22;686,09
"EFAVIRENZEMTRICITABINETENOFOVIR DISOPROXIL FUMARATE";"ANHEDONIA";265;0,85585399658497;414,49;271,06;300,23;331,82
"BUPRENORPHINE";"ORAL ADMINISTRATION COMPLICATION";33;0,0642490626045473;8971,96;270,17;363,57;480,81
"ORLISTAT";"STEATORRHOEA";16;0,0120503651823305;2113,99;269,81;416,77;620,94
"NINTEDANIB";"IDIOPATHIC PULMONARY FIBROSIS";69;0,185849782107152;892,66;265,07;324,65;394,35
"MELPHALAN";"RETINAL DEPIGMENTATION";13;0,00394944364547986;11847,17;264,28;429,72;668,22
"TESTOSTERONE";"BLOOD TESTOSTERONE DECREASED";27;0,0469892552539766;778,38;264,2;367,38;500,12
"FINASTERIDE";"POST 5ALPHAREDUCTASE INHIBITOR SYNDROME";15;0,0100300227234216;7099,92;262,86;412,28;622,18
"MENTHOLZINC OXIDE";"MESOTHELIOMA";12;0,00140120525375936;42816,28;260,82;433,31;685,84
"PARATHYROID HORMONE";"BLOOD CALCIUM ABNORMAL";19;0,0226061114273176;1505,07;260,55;387,46;558,96
"WARFARIN";"CALCIPHYLAXIS";17;0,0171403247320331;2287,49;256,16;390,25;574,67
"LAMIVUDINE";"PINEALOBLASTOMA";18;0,0204467346486559;2858,84;255,17;383,88;559,27
"ELAGOLIX SODIUM";"ENDOMETRIOSIS";38;0,0870354841652944;620,53;253,69;334,29;433,9
"ETONOGESTREL";"PREGNANCY WITH IMPLANT CONTRACEPTIVE";150;0,49011552883007;6842,84;253,15;290,14;331,28
"NEVIRAPINE";"DEVELOPMENTAL DELAY";16;0,0145899139290664;1404,2;252,56;390,13;581,25
"LANSOPRAZOLE";"HYPERTENSIVE NEPHROPATHY";48;0,122589166619598;3069,62;251,8;321,53;405,69
"CRISABOROLE";"APPLICATION SITE PAIN";69;0,197502596031439;435,83;251,2;307,66;373,71
"BUROSUMABTWZA";"RICKETS";16;0,015100430571909;4447;249,36;385,19;573,88
"PENTOSAN POLYSULFATE SODIUM";"MACULOPATHY";13;0,00606102737672652;3015,79;246,4;400,65;623
"VORICONAZOLE";"PERIOSTITIS";15;0,0129910192519085;4615,58;242,45;380,28;573,88
"PROMETHAZINE HYDROCHLORIDE";"INTENTIONAL SELFINJURY";583;2,22243970472586;438,66;241,98;259,17;277,31
"LISINOPRIL";"INTESTINAL ANGIOEDEMA";24;0,043263569966849;1762,9;241,91;343,54;476,32
"ALBUTEROL";"POOR QUALITY DEVICE USED";186;0,654788646109863;443,12;241,42;272,82;307,36
"BACILLUS CALMETTEGUERIN SUBSTRAIN TICE LIVE ANTIGEN";"BLADDER CANCER RECURRENT";12;0,00364747848226661;6877,88;240,47;399,51;632,33
"FINASTERIDE";"LIBIDO DECREASED";47;0,127222919807611;458,69;238,36;305,18;386,01
"FINASTERIDE";"TESTICULAR PAIN";24;0,0443432583561799;757,33;238,15;338,2;468,92
"EDARAVONE";"AMYOTROPHIC LATERAL SCLEROSIS";15;0,0136905356731651;1625,32;238,08;373,43;563,54
"ALEMTUZUMAB";"CRYSTAL URINE PRESENT";21;0,0340764428069291;1908,31;237,61;346,18;490,72
"PHENYLEPHRINE HYDROCHLORIDE";"GASTRIC RESIDUAL INCREASED";11;0,00101668846319284;70320,86;235,79;401,47;648,31
"MISOPROSTOL";"UTERINE ATONY";13;0,00759692212774647;Inf;234,84;381,85;593,78
"OMEPRAZOLE MAGNESIUM";"HYPERCHLORHYDRIA";94;0,310174705312414;461,68;234,53;278,84;329,52
"INGENOL MEBUTATE";"APPLICATION SITE ERYTHEMA";24;0,0454685673816796;573,82;234,35;332,81;461,45
"ETONOGESTREL";"IMPLANT SITE PAIN";86;0,280957946463097;6865,65;233,04;279,32;332,57
"ASPIRINOXYCODONE HYDROCHLORIDE";"DRUG DEPENDENCE";168;0,609081113491108;306,79;232,2;264,1;299,37
"HALOPERIDOL";"EMBOLISM VENOUS";41;0,108711803579265;446,93;232,08;302,57;388,99
"LIDOCAINE";"PRODUCT ADHESION ISSUE";122;0,426218396847397;363,57;231,34;269,18;311,76
"ALTEPLASE";"HAEMORRHAGIC TRANSFORMATION STROKE";17;0,021702388348924;1806,36;231,21;352,25;518,71
"TISAGENLECLEUCEL";"HAEMATOCRIT DECREASED";176;0,645358208890376;382,91;230,81;261,74;295,86
"IVACAFTORTEZACAFTOR";"INFECTIVE PULMONARY EXACERBATION OF CYSTIC FIBROSIS";156;0,568059471930274;409,7;229,33;262,14;298,54
"ONDANSETRON HYDROCHLORIDE";"HEART DISEASE CONGENITAL";16;0,018817426214052;1097,34;228,27;352,62;525,36
"CANAGLIFLOZIN";"OSTEOMYELITIS ACUTE";16;0,019115046554773;3512,36;226,74;350,25;521,83
"LAMIVUDINEZIDOVUDINE";"DANDYWALKER SYNDROME";11;0,00222889393853814;8327,43;225,35;383,7;619,61
"BACLOFEN";"IMPLANT SITE EXTRAVASATION";14;0,0124153302716818;16900,57;225,33;359,49;550,25
"LAPINE TLYMPHOCYTE IMMUNE GLOBULIN";"HAEMOLYTIC ANAEMIA";19;0,0302921024161558;708,17;224,43;333,74;481,47
"BACLOFEN";"IMPLANT SITE INFECTION";20;0,0339352360759301;1149,7;224,35;330,09;471,87
"ALLOPURINOL";"TOXIC EPIDERMAL NECROLYSIS";79;0,264462827871167;388,49;224,34;271,06;325,15
"DOLUTEGRAVIR";"CONGENITAL UMBILICAL HERNIA";12;0,00576775185849782;10398,67;223,98;372,11;588,96
"ONDANSETRON HYDROCHLORIDE";"LEFTTORIGHT CARDIAC SHUNT";12;0,00583075178463584;4526,52;223,52;371,35;587,76
"PHENYLEPHRINE HYDROCHLORIDE";"FEEDING INTOLERANCE";11;0,00265903136527357;6114,86;221,86;377,76;610,03
"COLLAGENASE CLOSTRIDIUM HISTOLYTICUM";"CORPORA CAVERNOSA SURGERY";12;0,006178337584018;Inf;221,04;367,23;581,24
"METHADONE HYDROCHLORIDE";"DRUG DIVERSION";57;0,179354272481198;416,48;220,91;276,29;342,11
"LEUPROLIDE ACETATE";"INTERCEPTED PRODUCT PREPARATION ERROR";244;0,967683210302443;1823,44;220,47;245,26;272,2
"BUPROPION";"ELECTROCARDIOGRAM PQ INTERVAL PROLONGED";15;0,0168144630451123;3565,36;220,35;345,63;521,58
"CALCIUM CHLORIDEDEXTROSEMAGNESIUM CHLORIDESODIUM CHLORIDESODIUM LACTATE";"PERITONITIS BACTERIAL";61;0,196246942331171;850,83;220,18;273,27;336,01
"EPOPROSTENOL";"CATHETER SITE HAEMORRHAGE";38;0,104834049504907;561,55;218,96;288,51;374,48
"BROLUCIZUMABDBLL";"VITREOUS FLOATERS";79;0,272324784170943;389,83;218,41;263,89;316,55
"LANSOPRAZOLE";"DIABETIC NEPHROPATHY";52;0,162709257513284;1108,47;216,84;274,15;342,83
"RISPERIDONE";"GYNAECOMASTIA";883;3,83207261067349;1687,84;216,4;228,79;241,74
"GLYCOPYRRONIUM TOSYLATE";"MYDRIASIS";25;0,0552487628117953;484,84;216,21;304,76;419,83
"ETONOGESTREL";"DEVICE DEPLOYMENT ISSUE";178;0,702394866157743;1209,39;215,3;243,97;275,58
"HALOPERIDOL LACTATE";"EMBOLISM VENOUS";14;0,0142292936622074;1039,37;214,95;342,93;524,9
"COLCHICINE";"DRUG RESISTANCE";44;0,132673499624173;354,02;213,45;275,64;351,34
"CANAGLIFLOZIN";"OSTEOMYELITIS";104;0,38685213265612;355,61;213,14;251,22;294,48
"SORAFENIB";"HEPATOCELLULAR CARCINOMA";29;0,0722848118040137;514,97;212,93;292,53;394,01
"MISOPROSTOL";"FOETAL HEART RATE ABNORMAL";14;0,0146094656302817;2176,64;212,9;339,65;519,88
"BIMATOPROST";"BLEPHARAL PIGMENTATION";21;0,0410064346821111;2658,8;212,72;309,92;439,31
"BROLUCIZUMABDBLL";"RETINAL VASCULITIS";18;0,0300618268240651;1271,25;210,73;317,02;461,87
"HYDROXYPROGESTERONE CAPROATE";"PRETERM PREMATURE RUPTURE OF MEMBRANES";67;0,231757176560552;1575,92;210,7;258,85;315,32
"CHORIOGONADOTROPIN ALFA";"OVARIAN HYPERSTIMULATION SYNDROME";12;0,00780112878488349;1948,17;210,15;349,15;552,61
"OLMESARTAN";"SPRUELIKE ENTEROPATHY";11;0,0042839949773852;3795,25;209,61;356,9;576,34
"INGENOL MEBUTATE";"APPLICATION SITE SCAB";11;0,00440999482966123;4018,04;208,72;355,38;573,89
"AXICABTAGENE CILOLEUCEL";"NEUROTOXICITY";94;0,35276482779296;316,08;208,09;247,41;292,38
"LAMIVUDINE";"BLOOD HIV RNA INCREASED";25;0,0589809653326613;635,3;206,61;291,24;401,2
"VALSARTAN";"CRANIAL SUTURES WIDENING";27;0,0675511276986779;997,74;205,59;285,89;389,19
"PARATHYROID HORMONE";"BLOOD CALCIUM DECREASED";41;0,126173645175726;391,69;205,3;267,65;344,1
"PANTOPRAZOLE MAGNESIUM";"FAECAL CALPROTECTIN INCREASED";14;0,0161019121563789;929,06;205,19;327,36;501,07
"EMTRICITABINETENOFOVIR DISOPROXIL FUMARATE";"ECONOMIC PROBLEM";444;1,97471313309495;369,3;204,97;221,77;239,63
"ALENDRONATE SODIUM";"ATYPICAL FEMUR FRACTURE";18;0,0316259629212849;824,82;204,93;308,29;449,15
"COBICISTATELVITEGRAVIREMTRICITABINETENOFOVIR DISOPROXIL FUMARATE";"ECONOMIC PROBLEM";43;0,135254324184585;330,43;204,56;264,97;338,68
"BETAINE";"HYPERMETHIONINAEMIA";10;0,00141206730999005;Inf;204,28;357,86;591,33
"LOPERAMIDE";"TORSADE DE POINTES";15;0,0205292862760092;811,74;202,43;317,52;479,16
"PREDNISOLONE";"VIRAEMIA";48;0,159726536872336;689,07;201,22;256,94;324,2
"CALCIUM CHLORIDEDEXTROSEMAGNESIUM CHLORIDESODIUM CHLORIDESODIUM LACTATE";"PERITONEAL DIALYSIS COMPLICATION";25;0,061327169478491;2440,9;201,01;283,34;390,32
"OMADACYCLINE";"DRUG DOSE TITRATION NOT PERFORMED";10;0,00192041154158647;6446,79;200,44;351,14;580,23
"EFAVIRENZEMTRICITABINETENOFOVIR DISOPROXIL FUMARATE";"BONE DENSITY DECREASED";126;0,515969395070364;305;199,81;231,93;267,99
"CANDESARTAN";"FOETAL DISORDER";20;0,0412345378629556;591,41;199,68;293,79;419,98
"CANAGLIFLOZIN";"FOOT AMPUTATION";17;0,0291276899882255;1243,96;199,58;304,06;447,75
"HEPARIN SODIUM";"VASCULAR STENT THROMBOSIS";15;0,0215068713367715;1045,68;198,19;310,86;469,13
"GEFITINIB";"DRUG RESISTANCE";53;0,186949022197698;306,86;196,23;247,53;308,9
"WATER";"PRODUCT SELECTION ERROR";10;0,00254172115798209;5290,67;195,94;343,26;567,21
"EPOPROSTENOL";"CATHETER SITE INFECTION";28;0,0764210828166615;571,01;195,93;270,77;366,6
"ATORVASTATIN CALCIUM";"TYPE 2 DIABETES MELLITUS";487;2,27913094860509;480,62;195,84;211,13;227,34
"OXYMETAZOLINE HYDROCHLORIDE";"DRUG DEPENDENCE";156;0,673953658123297;255,39;194,59;222,43;253,32
"EFTRENONACOG ALFA";"HAEMARTHROSIS";17;0,0305853779343845;583,24;194,36;296,1;436,04
"INGENOL MEBUTATE";"APPLICATION SITE VESICLES";12;0,0104927463188491;1384,2;194,29;322,78;510,88
"ROMIPLOSTIM";"THROMBOCYTOSIS";16;0,02675107208495;720,59;193,38;298,72;445,05
"TIROFIBAN HYDROCHLORIDE";"ANGINA PECTORIS";42;0,141152420717852;320,92;192,05;249,56;319,89
"EPOPROSTENOL";"CATHETER SITE PAIN";35;0,10973283686495;463,48;191,8;255,79;335,6
"ASPARAGINASE";"HYPERTRIGLYCERIDAEMIA";14;0,0190629086848657;819,27;191,45;305,43;467,51
"EPOPROSTENOL";"DEVICE ALARM ISSUE";27;0,0744615678726446;561,85;191,33;266,06;362,19
"RANITIDINE HYDROCHLORIDE";"COLORECTAL CANCER";49;0,174366416260064;456,93;190,87;243,1;306,01
"MISOPROSTOL";"PREMATURE SEPARATION OF PLACENTA";16;0,0274657953849295;882,69;190,75;294,66;439
"TISAGENLECLEUCEL";"ACUTE LYMPHOCYTIC LEUKAEMIA RECURRENT";37;0,11954996328625;459,68;190,7;252,26;328,56
"WARFARIN";"INTERNATIONAL NORMALISED RATIO INCREASED";61;0,231965728040181;309,29;189,59;235,31;289,33
"MENTHOLZINC OXIDE";"LUNG NEOPLASM MALIGNANT";23;0,0579164838220535;412,38;189,24;270,9;378,2
"BACLOFEN";"MUSCLE SPASTICITY";66;0,256583492281423;326,53;188,93;232,49;283,63
"EPOPROSTENOL";"PAIN IN JAW";205;0,94154693060015;276,5;188,3;211,55;237
"EMTRICITABINETENOFOVIR DISOPROXIL FUMARATE";"ANHEDONIA";377;1,82294631102846;322,96;187,03;203,72;221,58
"IVACAFTORLUMACAFTOR";"INFECTIVE PULMONARY EXACERBATION OF CYSTIC FIBROSIS";94;0,395795949756473;296,31;186,82;222,12;262,5
"RANITIDINE HYDROCHLORIDE";"RECALLED PRODUCT ADMINISTERED";60;0,232030900377565;400,38;186,07;231,36;284,95
"VALSARTAN";"OLIGOHYDRAMNIOS";71;0,285215872505529;396,86;186,01;227,16;275,18
"DOLUTEGRAVIR";"BLOOD HIV RNA INCREASED";16;0,0288387592924891;704,99;185,9;287,16;427,84
"LANADELUMAB";"HEREDITARY ANGIOEDEMA";12;0,0121655029783758;1021,38;185,57;308,31;487,97
"HEPARIN SODIUM";"COAGULATION TIME SHORTENED";11;0,00812481806055814;3834,15;185,41;315,7;509,81
"ALISKIREN";"PERSONALITY DISORDER";10;0,00413627101264778;2834,3;185,27;324,57;536,32
"SOFOSBUVIR";"LIVER TRANSPLANT REJECTION";10;0,00418623647130897;3034,13;184,96;324,02;535,41
"ARIPIPRAZOLE";"COMPULSIVE SHOPPING";24;0,0643620279893465;842,65;184,89;262,56;364,05
"VERTEPORFIN";"POLYPOIDAL CHOROIDAL VASCULOPATHY";9;0,000310654808197811;159336,35;184,43;334,08;567,01
"ALEMTUZUMAB";"NITRITE URINE PRESENT";14;0,0208855617203759;2544,41;183,87;293,34;449
"FINASTERIDE";"ERECTILE DYSFUNCTION";79;0,328351270208856;275,45;183,79;222,07;266,38
"LATANOPROSTNETARSUDIL MESYLATE";"CONJUNCTIVAL HYPERAEMIA";11;0,00869833462953871;1475,21;182,27;310,35;501,17
"ALEMTUZUMAB";"URINE LEUKOCYTE ESTERASE POSITIVE";17;0,0351756828974752;1029,88;179,57;273,57;402,85
"HOMEOPATHICSZINC ACETATEZINC GLUCONATE";"ANOSMIA";10;0,00521378699073249;2045,79;178,7;313,05;517,29
"TENOFOVIR DISOPROXIL FUMARATE";"ECONOMIC PROBLEM";204;0,988586151312788;251,5;178,63;200,74;224,96
"OMEPRAZOLE MAGNESIUM";"REBOUND EFFECT";95;0,421519471321999;302,61;178,11;211,57;249,81
"WARFARIN SODIUM";"INTERNATIONAL NORMALISED RATIO FLUCTUATION";20;0,0492702870624221;774,04;178,11;262,07;374,64
"ONDANSETRON HYDROCHLORIDE";"CONGENITAL ANOMALY";12;0,0137817769455029;1131,63;177,87;295,51;467,71
"ARIPIPRAZOLE";"HOMELESS";16;0,0314326183203785;2134,71;177,38;274;408,22
"RANITIDINE HYDROCHLORIDE";"RENAL CANCER";82;0,356970615965485;335,07;177,16;213,29;255,01
"NORETHINDRONE ACETATE";"ENDOMETRIOSIS";10;0,00556137279011466;1950,42;176,67;309,51;511,43
"ALISKIREN";"NEUROLOGIC NEGLECT SYNDROME";9;0,0014598603574051;9863,36;176,47;319,65;542,52
"ROMIDEPSIN";"PERIPHERAL TCELL LYMPHOMA UNSPECIFIED";9;0,00148592929235876;12112,63;176,29;319,34;541,99
"NALOXONE HYDROCHLORIDE";"UNINTENTIONAL USE FOR UNAPPROVED INDICATION";9;0,00152068787229698;10759,86;176,07;318,92;541,28
"EPOPROSTENOL";"CATHETER SITE SWELLING";18;0,0411498138243562;764,75;175,49;264;384,62
"BIMATOPROST";"ERYTHEMA OF EYELID";59;0,242884266963273;393,16;175,2;218,26;269,29
"TISAGENLECLEUCEL";"DIFFUSE LARGE BCELL LYMPHOMA";63;0,263433104940498;319,81;175,12;216,58;265,44
"ETONOGESTREL";"UNINTENDED PREGNANCY";140;0,668055561590031;604,14;174,73;201,24;230,83
"PHENYLEPHRINE HYDROCHLORIDE";"APNOEA";11;0,0102450914367894;1172,01;174,31;296,79;479,27
"OCTREOTIDE ACETATE";"BLOOD GROWTH HORMONE INCREASED";23;0,0651658201504177;1162,42;174,06;249,16;347,84
"ALISKIREN";"CAROTID ARTERY THROMBOSIS";9;0,00200730799143201;6164,6;172,91;313,21;531,58
"ONDANSETRON HYDROCHLORIDE";"VENTRICULAR SEPTAL DEFECT";14;0,0238530754826012;694,86;172,73;275,57;421,81
"COBICISTATELVITEGRAVIREMTRICITABINETENOFOVIR DISOPROXIL FUMARATE";"ANHEDONIA";35;0,124859336371813;289,99;172,46;230;301,76
"EMTRICITABINERILPIVIRINE HYDROCHLORIDETENOFOVIR DISOPROXIL FUMARATE";"ECONOMIC PROBLEM";33;0,115580967939555;294,06;171,63;230,95;305,43
"PARATHYROID HORMONE";"TETANY";12;0,0152459821254003;1341,98;171,42;284,79;450,76
"OLMESARTAN MEDOXOMIL";"FOETAL DISORDER";17;0,0380997484347777;526,71;171,27;260,92;384,23
